clearance_um,fem,pm_aura_method,delta_pct_pm_minus_fem_over_fem
20,15.8,15.1,-4.43038
25,12.9,12.3,-4.651163
30,10.4,9.9,-4.807692
35,8.4,7.9,-5.952381
40,7.0,6.5,-7.142857
45,5.9,5.5,-6.779661
